id;uf;confirmados_num;confirmados_%;obitos_num;obitos_%
1;Pará;1.615;44,5;2;50,0
2;Rio de Janeiro;937;25,8;1;25,0
3;São Paulo;660;18,2;1;25,0
4;Paraná;190;5,2;0;0,0
5;Santa Catarina;107;2,9;0;0,0
6;Pernambuco;32;0,9;0;0,0
7;Rio Grande do Sul;31;0,9;0;0,0
8;Minas Gerais;11;0,3;0;0,0
9;Maranhão;9;0,2;0;0,0
10;Sergipe;7;0,2;0;0,0
11;Mato Grosso do Sul;5;0,1;0;0,0
12;Goiás;5;0,1;0;0,0
14;Amapá;4;0,1;0;0,0
13;Amazonas;4;0,1;0;0,0
15;Alagoas;3;0,1;0;0,0
16;Bahia;3;0,1;0;0,0
17;Rondônia;2;0,1;0;0,0
18;Distrito Federal;2;0,1;0;0,0
19;Ceará;1;0,0;0;0,0
20;Tocantins;1;0,0;0;0,0
