id;uf;confirmados_num;confirmados_%;total_de_municípios;incidencia_100_mil_hab;semanas_transcorridas_do_ultimo_caso_confirmado
1;Pará;970;40,9;42;23,10;1
2;São Paulo;532;22,5;65;2,04;3
3;Rio de Janeiro;515;21,7;29;3,72;1
4;Paraná;160;6,8;-;-;-
5;Santa Catarina;96;4,1;13;4,86;8
6;Pernambuco;31;1,3;12;0,83;6
7;Rio Grande do Sul;30;1,3;7;1,29;5
8;Minas Gerais;6;0,3;5;0,19;8
9;Alagoas;5;0,2;3;0,29;7
10;Amapá;4;0,2;2;0,77;6
11;Amazonas;4;0,2;1;0,21;10
12;Bahia;3;0,1;2;0,10;6
13;Maranhão;3;0,1;-;-;-
14;Sergipe;3;0,1;2;2,21;5
15;Rondônia;2;0,1;-;-;-
16;Distrito Federal;2;0,1;1;0,08;9
17;Ceará;1;0,0;1;5,48;7
18;Mato Grosso do Sul;1;0,0;1;0,12;9
19;Tocantins;1;0,0;1;1,98;12
