id;uf;confirmados_num;confirmados_%;obitos_num;obitos_%
1;Pará;1.227;42,2;1;33,3
2;Rio de Janeiro;717;24,6;1;33,3
3;São Paulo;577;19,8;1;33,3
4;Paraná;187;6,4;0;0,0
5;Santa Catarina;99;3,4;0;0,0
6;Pernambuco;31;1,1;0;0,0
7;Rio Grande do Sul;31;1,1;0;0,0
8;Maranhão;9;0,3;0;0,0
9;Minas Gerais;7;0,2;0;0,0
10;Alagoas;5;0,2;0;0,0
11;Amapá;4;0,1;0;0,0
12;Amazonas;4;0,1;0;0,0
13;Sergipe;3;0,1;0;0,0
14;Bahia;2;0,1;0;0,0
15;Rondônia;2;0,1;0;0,0
16;Distrito Federal;2;0,1;0;0,0
17;Ceará;1;0,0;0;0,0
18;Mato Grosso do Sul;1;0,0;0;0,0
19;Tocantins;1;0,0;0;0,0
