faixa_etária;população;numero_casos;%_casos;incidencia_100_mil_hab;grupos_de_idade;coeficiente_de_incidência_por_faixa_etária_das_estratégias_de_vacinação;distribuicao_por_sexo_M;distribuicao_por_sexo_F;
<1;1.176;14,8;102,09;<5;34,63;559;617
1 a 4;686;8,7;16,24;<5;34,63;334;352
5 a 9;306;3,9;5,51;5 a 19;11,70;151;155
10 a 14;315;4,0;4,93;5 a 19;11,70;142;173
15 a 19;1.518;19,2;23,94;5 a 19;11,70;654;864
20 a 29;2.480;31,3;17,77;20 a 49;10,19;1056;1424
30 a 39;930;11,7;7,46;20 a 49;10,19;372;558
40 a 49;331;4,2;3,22;20 a 49;10,19;133;198
50 a 59;156;2,0;2,01;>50;1,12;-;-
> 60;22;0,3;2,01;>50;1,12;69;87
