id;uf;confirmados_num;confirmados_%;obitos_num;obitos_%
1;Pará;5.106;65,0;3;60,0
2;Rio de Janeiro;1.325;16,9;1;20,0
3;São Paulo;785;10,0;1;20,0
4;Paraná;311;4,0;0;0,0
5;Santa Catarina;110;1,4;0;0,0
6;Amapá;57;0,7;0;0,0
7;Rio Grande do Sul;37;0,5;0;0,0
8;Pernambuco;34;0,4;0;0,0
9;Minas Gerais;21;0,3;0;0,0
10;Maranhão;17;0,2;0;0,0
11;Goiás;8;0,1;0;0,0
12;Sergipe;8;0,1;0;0,0
13;Bahia;7;0,1;0;0,0
14;Rondônia;6;0,1;0;0,0
15;Distrito Federal;5;0,1;0;0,0
16;Mato Grosso do Sul;7;0,1;0;0,0
17;Amazonas;4;0,1;0;0,0
18;Alagoas;3;0,0;0;0,0
19;Ceará;3;0,0;0;0,0
20;Mato Grosso;1;0,0;0;0,0
21;Tocantins;1;0,0;0;0,0
