id;uf;confirmados_num;confirmados_%;obitos_num;obitos_%
1;Pará;5.327;64,5;5;71,4
2;Rio de Janeiro;1.340;16,2;1;14,3
3;São Paulo;825;10,0;1;14,3
4;Paraná;377;4,6;0;0,0
5;Amapá;115;1,4;0;0,0
6;Santa Catarina;110;1,3;0;0,0
7;Rio Grande do Sul;37;0,4;0;0,0
8;Pernambuco;34;0,4;0;0,0
9;Minas Gerais;21;0,3;0;0,0
10;Maranhão;17;0,2;0;0,0
11;Mato Grosso do Sul;8;0,1;0;0,0
12;Goiás;8;0,1;0;0,0
13;Sergipe;8;0,1;0;0,0
14;Bahia;7;0,1;0;0,0
15;Ceará;7;0,1;0;0,0
16;Rondônia;6;0,1;0;0,0
17;Distrito Federal;5;0,1;0;0,0
18;Amazonas;4;0,0;0;0,0
19;Alagoas;3;0,0;0;0,0
20;Mato Grosso;1;0,0;0;0,0
21;Tocantins;1;0,0;0;0,0
